source	target	interaction	tm_max	tm_norm_1	tm_norm_2	rmsd	tm_interval
KL48_15_wcqE	KL49_14_wcpF	structural_similarity	0.7684	0.7413	0.7684	2.0633	moderate (0.75-0.90)
KL147_16	KL16_11_lacA	structural_similarity	0.7682	0.7682	0.7101	2.2023	moderate (0.75-0.90)
KL63_08_wcsD	PROTEIN02_MOD_AC_K2	structural_similarity	0.7679	0.7679	0.6687	2.8992	moderate (0.75-0.90)
KL2_13	KL63_08_wcsD	structural_similarity	0.7674	0.6682	0.7674	2.9049	moderate (0.75-0.90)
KL114_15	KL137_14_wclK	structural_similarity	0.7673	0.7673	0.6579	3.5587	moderate (0.75-0.90)
KL113_10	KL4_12_wcsW	structural_similarity	0.7672	0.7199	0.7672	2.2755	moderate (0.75-0.90)
KL4_12_wcsW	KL58_13_wcqU	structural_similarity	0.7672	0.7672	0.716	2.1645	moderate (0.75-0.90)
KL1_11_wcsT	KL5_11	structural_similarity	0.767	0.767	0.7193	1.8713	moderate (0.75-0.90)
KL113_10	KL147_16	structural_similarity	0.7669	0.7198	0.7669	2.2815	moderate (0.75-0.90)
KL108_13	KL143_16_wcsW	structural_similarity	0.7666	0.712	0.7666	2.0217	moderate (0.75-0.90)
KL2_13	KL55_10_wcpI	structural_similarity	0.766	0.766	0.7563	2.5341	moderate (0.75-0.90)
KL16_11_lacA	KL4_12_wcsW	structural_similarity	0.766	0.7083	0.766	2.189	moderate (0.75-0.90)
KL143_16_wcsW	KL61_12_wcqZ	structural_similarity	0.7655	0.7655	0.7008	2.8084	moderate (0.75-0.90)
KL137_14_wclK	KL160_20_wcpG	structural_similarity	0.7651	0.7651	0.7331	3.582	moderate (0.75-0.90)
KL147_16	KL58_13_wcqU	structural_similarity	0.7651	0.7651	0.714	1.9765	moderate (0.75-0.90)
KL113_10	KL143_16_wcsW	structural_similarity	0.7649	0.7177	0.7649	2.2658	moderate (0.75-0.90)
KL144_15	KL1_11_wcsT	structural_similarity	0.7645	0.7439	0.7645	1.6514	moderate (0.75-0.90)
KL16_11_lacA	KL1_11_wcsT	structural_similarity	0.7645	0.7134	0.7645	1.8346	moderate (0.75-0.90)
KL24_13_wcuG	PROTEIN05_GWAS_AC_K111	structural_similarity	0.7644	0.7644	0.7188	3.6575	moderate (0.75-0.90)
KL147_16	KL61_12_wcqZ	structural_similarity	0.7643	0.7643	0.7002	2.6979	moderate (0.75-0.90)
KL143_16_wcsW	KL16_11_lacA	structural_similarity	0.7642	0.7642	0.7065	2.2506	moderate (0.75-0.90)
KL165_12	KL22_17	structural_similarity	0.7642	0.7642	0.7642	3.5622	moderate (0.75-0.90)
KL177_17	KL52_15_wcpG	structural_similarity	0.7638	0.7638	0.7144	3.515	moderate (0.75-0.90)
KL55_10_wcpI	PROTEIN02_MOD_AC_K2	structural_similarity	0.7633	0.7538	0.7633	2.6656	moderate (0.75-0.90)
KL4_03_wcuG	KL62_12	structural_similarity	0.7632	0.7213	0.7632	3.6947	moderate (0.75-0.90)
KL178_14	KL1_11_wcsT	structural_similarity	0.7632	0.7426	0.7632	1.6725	moderate (0.75-0.90)
KL121_13_wcqU	KL1_11_wcsT	structural_similarity	0.763	0.7307	0.763	1.7917	moderate (0.75-0.90)
KL137_14_wclK	KL52_15_wcpG	structural_similarity	0.7628	0.7628	0.7154	3.6641	moderate (0.75-0.90)
KL106_17	KL114_15	structural_similarity	0.7626	0.6761	0.7626	3.4684	moderate (0.75-0.90)
KL114_15	KL4_03_wcuG	structural_similarity	0.7625	0.7625	0.6744	3.7028	moderate (0.75-0.90)
KL30_15_wcuG	KL35_16_wclK	structural_similarity	0.7623	0.7623	0.7512	3.5432	moderate (0.75-0.90)
KL114_15	KL22_17	structural_similarity	0.7618	0.7618	0.6736	3.5789	moderate (0.75-0.90)
KL143_16_wcsW	KL58_13_wcqU	structural_similarity	0.7618	0.7618	0.7109	2.0217	moderate (0.75-0.90)
KL24_13_wcuG	KL49_11_wclK	structural_similarity	0.7615	0.7615	0.7173	3.8382	moderate (0.75-0.90)
KL113_10	KL1_11_wcsT	structural_similarity	0.7608	0.7212	0.7608	1.8844	moderate (0.75-0.90)
KL121_13_wcqU	KL4_12_wcsW	structural_similarity	0.7607	0.7208	0.7607	1.908	moderate (0.75-0.90)
KL4_12_wcsW	KL61_12_wcqZ	structural_similarity	0.7606	0.7606	0.697	2.7507	moderate (0.75-0.90)
KL22_17	KL39_14	structural_similarity	0.7605	0.7392	0.7605	3.6655	moderate (0.75-0.90)
KL39_14	KL43_15_wcpZ	structural_similarity	0.7602	0.7602	0.7026	3.6387	moderate (0.75-0.90)
KL116_17_wcpG	KL165_12	structural_similarity	0.7602	0.7166	0.7602	3.8727	moderate (0.75-0.90)
KL132_20_wcpG	KL137_14_wclK	structural_similarity	0.7599	0.7159	0.7599	3.6234	moderate (0.75-0.90)
KL178_14	KL63_08_wcsD	structural_similarity	0.7599	0.7599	0.703	2.0431	moderate (0.75-0.90)
KL175_21_wcpZ	KL39_14	structural_similarity	0.7598	0.7114	0.7598	3.5416	moderate (0.75-0.90)
KL106_17	KL39_14	structural_similarity	0.7598	0.7401	0.7598	3.7112	moderate (0.75-0.90)
KL165_12	KL4_03_wcuG	structural_similarity	0.7594	0.7594	0.7594	3.8903	moderate (0.75-0.90)
KL114_11_wcqZ	KL147_16	structural_similarity	0.7592	0.688	0.7592	2.625	moderate (0.75-0.90)
KL121_13_wcqU	KL147_16	structural_similarity	0.7592	0.7194	0.7592	1.9305	moderate (0.75-0.90)
KL114_11_wcqZ	KL143_16_wcsW	structural_similarity	0.759	0.6878	0.759	2.6417	moderate (0.75-0.90)
KL147_16	KL6_10_wckB	structural_similarity	0.759	0.759	0.7165	2.2702	moderate (0.75-0.90)
KL137_14_wclK	KL167_17	structural_similarity	0.7588	0.7588	0.7018	3.1658	moderate (0.75-0.90)
KL24_13_wcuG	KL134_12	structural_similarity	0.7586	0.7586	0.7432	3.8922	moderate (0.75-0.90)
KL1_11_wcsT	KL6_10_wckB	structural_similarity	0.7584	0.7584	0.7228	1.8776	moderate (0.75-0.90)
KL147_16	KL1_11_wcsT	structural_similarity	0.7579	0.7579	0.7499	2.3314	moderate (0.75-0.90)
KL4_12_wcsW	KL6_10_wckB	structural_similarity	0.7575	0.7575	0.7152	2.2788	moderate (0.75-0.90)
KL137_14_wclK	KL157_16	structural_similarity	0.7573	0.7573	0.7089	3.0698	moderate (0.75-0.90)
KL52_15_wcpG	KL134_12	structural_similarity	0.7564	0.7043	0.7564	4.0984	moderate (0.75-0.90)
KL177_16	PROTEIN01_MOD_AC_K1	structural_similarity	0.7564	0.7564	0.5484	2.7051	moderate (0.75-0.90)
KL110_16_wcpZ	KL39_14	structural_similarity	0.7562	0.6991	0.7562	3.5566	moderate (0.75-0.90)
KL165_12	KL51_14_wcoZ	structural_similarity	0.7562	0.7562	0.7253	3.7411	moderate (0.75-0.90)
KL116_17_wcpG	KL137_14_wclK	structural_similarity	0.7561	0.7335	0.7561	3.7674	moderate (0.75-0.90)
KL35_16_wclK	KL69_15_wcuG	structural_similarity	0.7561	0.7524	0.7561	3.7391	moderate (0.75-0.90)
KL157_16	KL51_14_wcoZ	structural_similarity	0.756	0.719	0.756	3.5465	moderate (0.75-0.90)
KL144_15	KL63_08_wcsD	structural_similarity	0.7558	0.7558	0.6994	1.9104	moderate (0.75-0.90)
KL121_13_wcqU	KL143_16_wcsW	structural_similarity	0.7557	0.7162	0.7557	1.9836	moderate (0.75-0.90)
KL143_16_wcsW	KL6_10_wckB	structural_similarity	0.7556	0.7556	0.7134	2.3165	moderate (0.75-0.90)
KL165_12	KL24_13_wcuG	structural_similarity	0.7555	0.7555	0.7555	3.731	moderate (0.75-0.90)
KL160_20_wcpG	KL134_12	structural_similarity	0.7555	0.7192	0.7555	4.2506	moderate (0.75-0.90)
KL143_16_wcsW	KL1_11_wcsT	structural_similarity	0.7553	0.7553	0.7473	2.3492	moderate (0.75-0.90)
KL114_11_wcqZ	KL4_12_wcsW	structural_similarity	0.755	0.6848	0.755	2.6494	moderate (0.75-0.90)
KL1_11_wcsT	KL4_12_wcsW	structural_similarity	0.7545	0.7464	0.7545	2.3941	moderate (0.75-0.90)
KL63_08_wcsD	PROTEIN01_MOD_AC_K1	structural_similarity	0.7536	0.7536	0.4793	2.6133	moderate (0.75-0.90)
KL157_16	KL134_12	structural_similarity	0.7533	0.701	0.7533	3.7147	moderate (0.75-0.90)
KL24_13_wcuG	KL52_15_wcpG	structural_similarity	0.7531	0.7531	0.6874	3.8961	moderate (0.75-0.90)
KL30_15_wcuG	PROTEIN03_MOD_AC_K57	structural_similarity	0.7531	0.7001	0.7531	3.4938	moderate (0.75-0.90)
KL30_15_wcuG	PROTEIN05_GWAS_AC_K111	structural_similarity	0.7529	0.7529	0.7416	3.7843	moderate (0.75-0.90)
KL30_15_wcuG	KL57_13_vanT	structural_similarity	0.7527	0.6998	0.7527	3.5862	moderate (0.75-0.90)
KL110_16_wcpZ	KL165_12	structural_similarity	0.7527	0.7167	0.7527	3.7416	moderate (0.75-0.90)
KL165_12	KL43_15_wcpZ	structural_similarity	0.7523	0.7523	0.7163	3.7348	moderate (0.75-0.90)
KL167_17	KL51_14_wcoZ	structural_similarity	0.7521	0.7062	0.7521	3.5115	moderate (0.75-0.90)
KL4_03_wcuG	KL49_11_wclK	structural_similarity	0.7519	0.7519	0.7084	3.8524	moderate (0.75-0.90)
KL10_15_wcsO	KL62_12	structural_similarity	0.7518	0.7518	0.643	2.8691	moderate (0.75-0.90)
KL151_09	KL158_13_cysE	structural_similarity	0.7512	0.7512	0.6896	2.4354	moderate (0.75-0.90)
KL69_15_wcuG	PROTEIN03_MOD_AC_K57	structural_similarity	0.751	0.6912	0.751	3.4317	moderate (0.75-0.90)
KL24_13_wcuG	KL39_14	structural_similarity	0.751	0.7299	0.751	3.9386	moderate (0.75-0.90)
KL43_15_wcpZ	KL134_12	structural_similarity	0.7502	0.7295	0.7502	3.52	moderate (0.75-0.90)
